case_id,group,priority,control_or_pair,changed_variable,shape_side_reference_relation,region_relation,region_values_mm,expected_constraint_mm,expected_source,question_answered
sr015,G1,P0,c008 variant,R1 edge position,on_edge,single,"default=0.11;R1=0.21",0.21,R1,"Is non-vertex boundary effective?"
sr016,G1,P0,sr015,R1 shifted epsilon outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Does outside fall back even when visually near boundary?"
sr017,G1,P1,sr015,R1 shifted epsilon inside,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does inside behave same as boundary?"
sr018,G1,P1,c004 variant,line kept outside R1,on_vertex,single,"default=0.11;R1=0.21",0.21,R1,"Does vertex boundary work without overall cross?"
sr019,G1,P0,new,line marker inside but shape reference outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Is line-side marker irrelevant?"
sr020,G1,P0,sr019 inverse,line marker outside but shape reference inside,inside,single,"default=0.11;R1=0.21",0.21,R1,"Is shape-side reference decisive?"
sr021,G2,P1,new,nearest point on straight edge interior,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does edge midpoint follow membership?"
sr022,G2,P1,sr021,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Straight edge outside control"
sr023,G2,P1,c007 variant,nearest point on arc interior,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does arc point follow membership?"
sr024,G2,P1,sr023,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Arc outside control"
sr025,G2,P2,new,nearest point is concave vertex,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does concave vertex follow membership?"
sr026,G2,P2,sr025,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Concave vertex outside control"
sr027,G3,P0,c002 variant,overall crosses but reference outside,outside,cross,"default=0.11;R1=0.21",0.11,DEFAULT,"Does overall cross fail as sufficient condition?"
sr028,G3,P0,c004/c018 variant,overall no cross but reference inside,inside,no_cross,"default=0.11;R1=0.21",0.21,R1,"Can region apply without line crossing region?"
sr029,G3,P1,new,shape mostly inside but reference outside,outside,mostly_inside,"default=0.11;R1=0.21",0.11,DEFAULT,"Is whole-shape inclusion insufficient?"
sr030,G3,P1,new,shape mostly outside but reference inside,inside,mostly_outside,"default=0.11;R1=0.21",0.21,R1,"Is local reference sufficient?"
sr031,G4,P0,c009/c010 variant,upper half of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Where does Allegro choose representative point?"
sr032,G4,P0,sr031,lower half of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Complement representative point test"
sr033,G4,P1,sr031,middle of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Is representative point centered?"
sr034,G4,P1,sr031,line direction reversed,unknown,single,"default=0.11;R1=0.21",SAME_AS_SR031,SAME_AS_SR031,"Is selection line-direction independent?"
sr035,G4,P2,sr031,shape vertex order reversed,unknown,single,"default=0.11;R1=0.21",SAME_AS_SR031,SAME_AS_SR031,"Is selection polygon-order independent?"
sr036,G4,P1,sr031,equal-gap band split by notch,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"How are disconnected equal minima resolved?"
sr037,G4,P0,sr031,unique minimum inside R1,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does strict geometric minimum dominate?"
sr038,G4,P0,sr037,unique minimum outside R1,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Does near-equal region hit lose to true minimum?"
sr039,G5,P0,c011/c012 variant,both effective R1 stricter,inside_both,overlap_non_nested,"default=0.11;R1=0.22;R2=0.21",0.22,R1,"Do non-nested effective regions choose stricter value?"
sr040,G5,P0,sr039,values swapped R2 stricter,inside_both,overlap_non_nested,"default=0.11;R1=0.21;R2=0.22",0.22,R2,"Is result independent of region name?"
sr041,G5,P1,new,point on shared edge,on_boundary_both,touch_edge,"default=0.11;R1=0.21;R2=0.22",0.22,R2,"Are two boundary hits both effective?"
sr042,G5,P1,new,point on shared vertex,on_boundary_both,touch_vertex,"default=0.11;R1=0.21;R2=0.22",0.22,R2,"Are shared vertex hits both effective?"
sr043,G5,P0,new,R1 inside and R2 boundary,inside_R1_boundary_R2,non_nested,"default=0.11;R1=0.21;R2=0.22",UNKNOWN,UNKNOWN,"Does inside outrank boundary or stricter value?"
sr044,G5,P0,sr043 inverse,R1 boundary and R2 inside,boundary_R1_inside_R2,non_nested,"default=0.11;R1=0.22;R2=0.21",UNKNOWN,UNKNOWN,"Inside/boundary inverse control"
sr045,G5,P2,new,R1 created before R2,inside_both,overlap_non_nested,"default=0.11;R1=0.21;R2=0.22",0.22,R2,"Does creation order matter?"
sr046,G5,P2,sr045,R2 created before R1,inside_both,overlap_non_nested,"default=0.11;R1=0.21;R2=0.22",0.22,R2,"Creation-order inverse"
sr047,G6,P0,c014 variant,inner less strict outer stricter,inside_both,nested,"default=0.11;R1_inner=0.21;R2_outer=0.22",0.21,R1_INNER,"Does inner priority beat stricter outer?"
sr048,G6,P0,sr047,inner stricter outer less strict,inside_both,nested,"default=0.11;R1_inner=0.22;R2_outer=0.21",0.22,R1_INNER,"Does same inner priority hold after value swap?"
sr049,G6,P0,sr047,point inside outer only,inside_outer_only,nested,"default=0.11;R1_inner=0.21;R2_outer=0.22",0.22,R2_OUTER,"Does outer apply when inner not effective?"
sr050,G6,P1,sr047,point on inner boundary and inside outer,boundary_inner_inside_outer,nested,"default=0.11;R1_inner=0.21;R2_outer=0.22",0.21,R1_INNER,"Is inner boundary effective under nesting?"
sr051,G6,P2,new,inner touches outer boundary,boundary_mix,nested_touching,"default=0.11;R1_inner=0.21;R2_outer=0.22",UNKNOWN,UNKNOWN,"How do nested boundary cases arbitrate?"
sr052,G6,P1,new,three-level nesting inside all,inside_all,nested_3,"default=0.11;R1_inner=0.21;R2_mid=0.22;R3_outer=0.23",0.21,R1_INNER,"Is specificity recursive?"
sr053,G6,P3,new,compound or ring-like middle region,custom,nested_complex,"default=0.11;R1=0.21;R2=0.22;R3=0.23",UNKNOWN,UNKNOWN,"Can non-simple region topology affect priority?"
sr054,G7,P1,sr055,one DBU inside,inside,single,"default=0.11;R1=0.21",0.21,R1,"Boundary tolerance inside side"
sr055,G7,P1,c008 exact,exact boundary,on_edge,single,"default=0.11;R1=0.21",0.21,R1,"Exact boundary baseline"
sr056,G7,P1,sr055,one DBU outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Boundary tolerance outside side"
sr057,G7,P2,new,near tangent arc and region edge,near_boundary,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Arc tangent tolerance behavior"
